frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,950.9946899414062,249.06451416015625,976.686767578125,220.2786407470703,935.53369140625,226.8562469482422,1043.958251953125,224.15689086914062,0.0,0.0,1100.9853515625,368.0224304199219,929.116943359375,355.31683349609375,1107.909423828125,512.630859375,832.900634765625,468.24639892578125,1081.297119140625,351.7936706542969,812.4437866210938,353.5792236328125,1050.3387451171875,728.9718017578125,931.839111328125,720.3250732421875,1038.84423828125,959.1681518554688,918.0646362304688,945.4720458984375,0.0,0.0,0.0,0.0
1,950.9799194335938,249.1409454345703,976.60693359375,220.43179321289062,935.5979614257812,226.94869995117188,1043.59912109375,224.32470703125,0.0,0.0,1100.8070068359375,367.4891052246094,928.5873413085938,355.9789123535156,1108.1588134765625,512.8241577148438,833.20458984375,471.98016357421875,1081.4937744140625,351.5609436035156,812.5336303710938,354.772705078125,1049.8494873046875,728.863037109375,931.0845947265625,720.5598754882812,1039.058837890625,959.3499755859375,917.6448364257812,945.5131225585938,0.0,0.0,0.0,0.0
2,948.8955688476562,247.05775451660156,974.8279418945312,218.92388916015625,935.0208129882812,224.176025390625,1044.8551025390625,224.55697631835938,0.0,0.0,1098.6505126953125,370.4167785644531,922.2423706054688,363.1751403808594,1110.6533203125,500.2563171386719,839.1033325195312,471.96038818359375,1082.1182861328125,343.4271545410156,809.8447265625,359.8086853027344,1043.492919921875,719.46533203125,924.84521484375,711.2693481445312,1046.541015625,956.0213012695312,918.0714721679688,943.1524658203125,0.0,0.0,0.0,0.0
3,947.4089965820312,248.5624237060547,973.7758178710938,219.97283935546875,933.8793334960938,225.5082550048828,1045.9117431640625,223.39816284179688,0.0,0.0,1101.7698974609375,366.2237854003906,922.7008666992188,361.6884460449219,1114.606201171875,498.2926025390625,842.2890625,472.1070861816406,1078.3187255859375,353.6534118652344,805.51904296875,362.5079345703125,1044.32666015625,719.5946655273438,924.069091796875,711.6498413085938,1046.81982421875,956.7138061523438,917.0045166015625,943.1358032226562,0.0,0.0,0.0,0.0
4,946.8856811523438,245.76976013183594,973.178466796875,217.98243713378906,933.7034912109375,223.4414520263672,1044.5064697265625,223.1121063232422,0.0,0.0,1102.584228515625,363.9296569824219,922.6776733398438,362.2698669433594,1120.0042724609375,496.5373840332031,844.2643432617188,475.1318054199219,1074.7088623046875,358.6564636230469,803.1563110351562,367.0679626464844,1047.703369140625,719.2813720703125,926.3809204101562,712.1519165039062,1049.1387939453125,957.3601684570312,916.1904296875,945.9402465820312,0.0,0.0,0.0,0.0
5,947.3265991210938,243.08441162109375,973.4921875,215.5077362060547,934.3084716796875,221.13145446777344,1044.9224853515625,221.19764709472656,0.0,0.0,1105.0675048828125,361.6573181152344,920.8002319335938,362.3134460449219,1121.2841796875,501.0156555175781,841.61865234375,486.6803283691406,1073.4954833984375,359.8547058105469,800.030517578125,375.34490966796875,1048.5787353515625,719.4566650390625,924.3959350585938,712.736572265625,1051.3111572265625,961.2720947265625,915.1235961914062,947.9267578125,0.0,0.0,0.0,0.0
6,947.3265991210938,243.08441162109375,973.4921875,215.5077362060547,934.3084716796875,221.13145446777344,1044.9224853515625,221.19764709472656,0.0,0.0,1105.0675048828125,361.6573181152344,920.8002319335938,362.3134460449219,1121.2841796875,501.0156555175781,841.61865234375,486.6803283691406,1073.4954833984375,359.8547058105469,800.030517578125,375.34490966796875,1048.5787353515625,719.4566650390625,924.3959350585938,712.736572265625,1051.3111572265625,961.2720947265625,915.1235961914062,947.9267578125,0.0,0.0,0.0,0.0
7,946.80908203125,244.0556182861328,972.4281005859375,216.01345825195312,934.4117431640625,221.96353149414062,1043.4298095703125,219.75750732421875,0.0,0.0,1108.3443603515625,359.8143310546875,919.110595703125,364.7857360839844,1129.3267822265625,500.1895751953125,839.2293090820312,493.1422119140625,1079.74169921875,370.8948974609375,794.1441650390625,379.10797119140625,1051.193603515625,720.4024658203125,924.8516235351562,714.7467651367188,1052.4630126953125,956.830078125,912.9417114257812,943.13916015625,0.0,0.0,0.0,0.0
8,946.9509887695312,242.38519287109375,972.5319213867188,214.23927307128906,935.5743408203125,220.47433471679688,1046.0709228515625,217.7837677001953,0.0,0.0,1114.2886962890625,358.2480773925781,921.8673706054688,364.2236022949219,1133.82861328125,501.380126953125,839.0474853515625,494.9865417480469,1073.0108642578125,368.6056213378906,788.1152954101562,377.81890869140625,1052.036376953125,724.582763671875,923.4404907226562,718.1167602539062,1054.5667724609375,965.4510498046875,912.3937377929688,949.2392578125,0.0,0.0,0.0,0.0
9,946.6945190429688,241.21348571777344,972.56396484375,213.49838256835938,935.9566040039062,219.18701171875,1046.9814453125,218.2722930908203,0.0,0.0,1110.7669677734375,358.777587890625,925.3978881835938,361.8790283203125,1125.5374755859375,503.5851745605469,841.2493896484375,494.3441162109375,1070.676025390625,362.2863464355469,787.10693359375,377.5937805175781,1049.748291015625,725.8419189453125,924.4315795898438,718.7180786132812,1054.264404296875,969.9186401367188,912.0099487304688,954.3416748046875,0.0,0.0,0.0,0.0
