frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,432.97210693359375,396.2165222167969,427.66912841796875,384.11553955078125,0.0,0.0,440.9970703125,354.10882568359375,0.0,0.0,513.5316162109375,372.3523254394531,541.1552734375,376.60382080078125,531.0999755859375,517.0703125,0.0,0.0,514.8707275390625,622.6298828125,445.6997985839844,477.680908203125,707.2388916015625,479.8531799316406,729.5455322265625,482.6723937988281,550.8170166015625,588.4826049804688,0.0,0.0,0.0,0.0,0.0,0.0
1,431.6341247558594,396.2765197753906,426.5052490234375,383.97283935546875,0.0,0.0,440.99945068359375,353.97222900390625,0.0,0.0,513.1944580078125,372.3482971191406,540.8507080078125,377.755859375,530.6181640625,516.2821044921875,0.0,0.0,515.4246215820312,622.7599487304688,447.32501220703125,483.87335205078125,706.712646484375,479.97479248046875,728.9683837890625,483.2702941894531,550.7413330078125,589.52685546875,0.0,0.0,0.0,0.0,0.0,0.0
2,430.8447265625,396.685302734375,425.44866943359375,384.5745849609375,0.0,0.0,439.60400390625,354.7467041015625,0.0,0.0,512.3844604492188,372.76007080078125,539.798828125,377.5899353027344,531.2163696289062,516.2033081054688,0.0,0.0,512.5640258789062,621.263427734375,446.5549621582031,488.72515869140625,706.7567138671875,479.0640563964844,728.8892822265625,482.07647705078125,552.6705322265625,592.8385620117188,0.0,0.0,0.0,0.0,0.0,0.0
3,430.4838562011719,396.885986328125,425.3406677246094,384.9254150390625,0.0,0.0,440.2810363769531,355.68267822265625,0.0,0.0,512.4019775390625,374.25115966796875,538.3880615234375,378.1041259765625,531.5575561523438,515.9911499023438,0.0,0.0,509.0575256347656,620.40478515625,450.65985107421875,511.31048583984375,705.0700073242188,477.4909362792969,726.0965576171875,479.87249755859375,553.6077880859375,594.2683715820312,0.0,0.0,0.0,0.0,0.0,0.0
4,430.0101318359375,397.729248046875,424.9781799316406,385.80755615234375,0.0,0.0,440.3475646972656,356.0065612792969,0.0,0.0,511.7516174316406,374.5383605957031,538.9849243164062,376.9076843261719,530.8356323242188,514.912353515625,0.0,0.0,510.9990539550781,621.9309692382812,464.1925048828125,536.3278198242188,705.3670043945312,476.5858459472656,727.09521484375,478.3896484375,549.267822265625,590.21484375,0.0,0.0,0.0,0.0,0.0,0.0
5,430.1246337890625,396.85736083984375,425.08575439453125,385.052490234375,0.0,0.0,440.8848876953125,355.411865234375,0.0,0.0,511.2905578613281,375.16168212890625,538.8472290039062,376.1275634765625,529.6795654296875,511.80841064453125,0.0,0.0,511.38330078125,622.054931640625,493.59503173828125,580.427734375,703.4462890625,477.8161926269531,725.0604248046875,479.035400390625,551.3187866210938,596.7512817382812,0.0,0.0,0.0,0.0,0.0,0.0
6,430.0604553222656,396.04656982421875,425.27801513671875,384.4996032714844,0.0,0.0,441.2671203613281,354.8060607910156,0.0,0.0,509.7130126953125,374.5131530761719,538.8927612304688,373.351806640625,528.6524047851562,507.60113525390625,0.0,0.0,514.6917724609375,619.5048217773438,509.5096435546875,594.172119140625,701.830810546875,476.86761474609375,724.2906494140625,477.4626159667969,551.0051879882812,598.2402954101562,0.0,0.0,0.0,0.0,0.0,0.0
7,430.3966369628906,396.283447265625,425.7459716796875,384.7730712890625,0.0,0.0,441.4168701171875,355.2616882324219,0.0,0.0,508.7007141113281,375.5982666015625,539.54833984375,372.9512634277344,527.2791137695312,508.16119384765625,0.0,0.0,515.8408203125,624.1295776367188,516.646728515625,602.8804321289062,702.7838134765625,476.0167541503906,726.32568359375,476.1250305175781,548.0316162109375,593.041015625,0.0,0.0,0.0,0.0,0.0,0.0
8,429.1401672363281,396.1322326660156,424.5491943359375,384.6802978515625,0.0,0.0,440.09686279296875,355.12481689453125,0.0,0.0,507.1627502441406,375.1173095703125,538.8357543945312,371.6475830078125,526.5797729492188,508.20556640625,0.0,0.0,516.5341186523438,626.7210693359375,518.7608642578125,607.4215698242188,703.4304809570312,474.21466064453125,727.5188598632812,474.1448059082031,544.22509765625,587.8123779296875,594.6242065429688,588.7730712890625,0.0,0.0,0.0,0.0
9,429.0877380371094,396.43408203125,424.4007873535156,385.0350341796875,0.0,0.0,439.743408203125,354.76776123046875,0.0,0.0,506.95458984375,374.2017822265625,538.5433349609375,370.6192932128906,526.7119750976562,507.38671875,0.0,0.0,516.2803955078125,626.654052734375,518.5624389648438,606.36328125,702.6722412109375,475.04107666015625,726.766845703125,474.9088439941406,545.306640625,590.721923828125,0.0,0.0,0.0,0.0,0.0,0.0
10,428.42254638671875,396.59393310546875,423.75592041015625,385.4956970214844,0.0,0.0,439.2099914550781,354.66766357421875,0.0,0.0,506.34564208984375,373.1007995605469,538.9912109375,368.68780517578125,527.0718383789062,507.27923583984375,0.0,0.0,517.513916015625,627.392333984375,518.7487182617188,604.193603515625,702.1736450195312,474.7633972167969,727.0039672851562,474.28369140625,547.0349731445312,594.7557373046875,0.0,0.0,0.0,0.0,0.0,0.0
11,427.1697998046875,397.2932434082031,422.3812255859375,386.1399230957031,0.0,0.0,438.0182800292969,354.10430908203125,0.0,0.0,506.53387451171875,370.9792785644531,536.7852172851562,367.81597900390625,527.4287109375,506.81640625,0.0,0.0,516.553955078125,624.308837890625,509.3100891113281,596.9514770507812,702.00390625,473.7900085449219,725.5399169921875,473.7144775390625,547.15234375,595.4854736328125,595.6015014648438,595.8572998046875,0.0,0.0,0.0,0.0
12,428.432861328125,394.41595458984375,425.26373291015625,381.4433288574219,0.0,0.0,441.3703308105469,354.47998046875,0.0,0.0,507.8299560546875,379.592529296875,537.4520263671875,376.0438537597656,532.827880859375,514.0540161132812,548.9764404296875,487.7305908203125,520.0075073242188,628.984619140625,511.30963134765625,593.4334106445312,711.4237670898438,460.21746826171875,732.4041748046875,459.1786193847656,547.4284057617188,583.6321411132812,594.1687622070312,583.67822265625,598.0977783203125,687.4109497070312,0.0,0.0
13,428.6123962402344,394.13427734375,425.32330322265625,380.9127197265625,0.0,0.0,440.985595703125,354.0279846191406,0.0,0.0,507.80364990234375,379.3584289550781,534.82958984375,376.55841064453125,533.09619140625,514.3218994140625,544.7694702148438,488.1536865234375,519.9895629882812,627.4599609375,504.778076171875,590.3980712890625,711.426025390625,459.1478271484375,730.7924194335938,458.28546142578125,545.3939819335938,580.9141845703125,591.7073974609375,580.2325439453125,598.6217651367188,687.0880126953125,0.0,0.0
14,428.6287536621094,393.58148193359375,425.1534423828125,380.169921875,0.0,0.0,440.061767578125,353.2362060546875,0.0,0.0,506.6463317871094,378.7291259765625,534.5348510742188,377.0727233886719,532.8902587890625,514.62109375,544.6912231445312,489.57452392578125,520.1071166992188,627.9219970703125,503.60003662109375,590.8108520507812,710.923828125,459.32464599609375,730.942626953125,459.167236328125,543.743408203125,579.7123413085938,590.8019409179688,581.0379638671875,598.6618041992188,684.8772583007812,0.0,0.0
15,426.6470947265625,395.7669372558594,421.59613037109375,384.15887451171875,0.0,0.0,436.83868408203125,351.2811279296875,0.0,0.0,506.3564758300781,368.1152038574219,532.87890625,367.47393798828125,527.3817138671875,505.647216796875,0.0,0.0,517.7882080078125,621.8602294921875,502.84661865234375,590.9139404296875,700.2171630859375,474.2832946777344,721.7186889648438,474.9699401855469,547.598388671875,600.5985107421875,595.59423828125,599.7508544921875,0.0,0.0,0.0,0.0
16,357.8056945800781,452.7132263183594,358.3239440917969,444.9569396972656,352.55126953125,449.1874084472656,369.8117370605469,432.7016906738281,0.0,0.0,406.2018127441406,440.39898681640625,369.5751953125,454.8560485839844,438.821044921875,478.6864013671875,375.4362487792969,500.20989990234375,433.84002685546875,501.50006103515625,370.6142272949219,496.04266357421875,451.214599609375,496.619140625,426.9755554199219,503.82427978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,426.3079833984375,396.4152526855469,421.66351318359375,384.63311767578125,0.0,0.0,437.7800598144531,352.0550537109375,0.0,0.0,506.6387023925781,368.5136413574219,534.2152709960938,369.70751953125,526.809326171875,505.33831787109375,0.0,0.0,517.7085571289062,621.76025390625,509.650390625,595.4898681640625,701.7769775390625,473.6756591796875,723.5332641601562,475.30487060546875,543.5441284179688,592.6807861328125,591.8624267578125,594.4216918945312,0.0,0.0,0.0,0.0
18,427.9822692871094,397.2044677734375,423.390869140625,385.4991760253906,0.0,0.0,439.55548095703125,352.85455322265625,0.0,0.0,507.60406494140625,369.5483093261719,536.550537109375,370.109375,526.6964111328125,505.998046875,0.0,0.0,516.6934204101562,622.387451171875,511.3027038574219,597.378662109375,701.6807861328125,474.6769104003906,724.4324951171875,475.9992370605469,543.6994018554688,593.76220703125,0.0,0.0,0.0,0.0,0.0,0.0
19,428.17181396484375,397.07464599609375,423.6542663574219,385.197998046875,0.0,0.0,439.96051025390625,352.748779296875,0.0,0.0,507.06378173828125,370.43658447265625,538.10595703125,370.614990234375,525.799072265625,506.19537353515625,0.0,0.0,518.0076904296875,625.0652465820312,520.1996459960938,602.304931640625,701.330322265625,476.447998046875,725.2055053710938,477.8292236328125,542.10546875,591.1476440429688,0.0,0.0,0.0,0.0,0.0,0.0
20,428.7362976074219,397.2889404296875,424.24945068359375,385.5976257324219,0.0,0.0,440.4790954589844,352.8840637207031,0.0,0.0,507.2994079589844,370.40667724609375,539.1251831054688,368.98516845703125,525.3132934570312,506.3133544921875,0.0,0.0,517.6400146484375,624.291259765625,520.9846801757812,600.9021606445312,701.8353881835938,475.7909240722656,726.2593994140625,476.4346008300781,541.4332275390625,590.7730712890625,0.0,0.0,0.0,0.0,0.0,0.0
21,428.8191223144531,397.12310791015625,424.2879943847656,385.283935546875,0.0,0.0,440.33978271484375,352.053955078125,0.0,0.0,507.29412841796875,369.4599609375,538.906494140625,368.88885498046875,525.074951171875,506.35675048828125,0.0,0.0,517.758544921875,623.9904174804688,519.8137817382812,601.0389404296875,701.9559936523438,476.40252685546875,726.3207397460938,477.4638366699219,540.8624267578125,589.9674072265625,0.0,0.0,0.0,0.0,0.0,0.0
22,429.61614990234375,397.0810852050781,425.30511474609375,385.12725830078125,0.0,0.0,441.9825439453125,352.58599853515625,0.0,0.0,509.07110595703125,370.75018310546875,539.03369140625,370.45904541015625,525.1597290039062,507.01214599609375,0.0,0.0,516.2757568359375,622.9513549804688,516.3488159179688,598.9529418945312,703.2864990234375,475.3372497558594,726.4669189453125,476.394287109375,540.9237670898438,587.82275390625,592.16015625,589.6703491210938,0.0,0.0,0.0,0.0
