frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,970.4417114257812,494.724609375,0.0,0.0,984.1387939453125,470.75714111328125,0.0,0.0,953.9442138671875,408.5810241699219,854.1055297851562,454.44927978515625,862.3036499023438,407.524658203125,810.8632202148438,581.232421875,844.21142578125,561.752197265625,931.624755859375,586.7363891601562,983.6141967773438,608.9176635742188,584.0716552734375,454.90802001953125,588.65625,413.67132568359375,443.3392028808594,498.90679931640625,440.763916015625,467.26409912109375,188.255615234375,489.13555908203125,196.8743896484375,486.3755798339844
1,970.5330810546875,494.69293212890625,0.0,0.0,984.1543579101562,470.7845764160156,0.0,0.0,953.805419921875,408.68731689453125,854.0198974609375,454.0973205566406,862.3151245117188,407.64178466796875,810.9497680664062,580.5798950195312,844.21826171875,561.7486572265625,931.1788330078125,586.4718017578125,983.2281494140625,609.0816040039062,584.341796875,454.49053955078125,588.9741821289062,413.5094909667969,443.15972900390625,498.5216064453125,440.7348327636719,467.52069091796875,188.40447998046875,489.1502685546875,197.11270141601562,487.19622802734375
2,968.9974975585938,493.53839111328125,0.0,0.0,982.5590209960938,469.8840026855469,0.0,0.0,952.529296875,407.62200927734375,852.8544921875,451.6625061035156,861.25537109375,406.13641357421875,810.6419677734375,580.8114624023438,845.2523193359375,561.994384765625,929.1083984375,587.1875610351562,983.0540161132812,608.6591186523438,583.50634765625,452.8739318847656,588.241455078125,412.7149353027344,445.3738708496094,496.4429931640625,443.8404235839844,467.03521728515625,195.80194091796875,485.26361083984375,205.26101684570312,485.573486328125
3,969.2672119140625,493.06048583984375,0.0,0.0,982.8192138671875,469.91314697265625,0.0,0.0,953.3232421875,407.7966613769531,853.579345703125,449.7528076171875,862.1401977539062,405.88934326171875,811.029296875,579.777587890625,845.89794921875,562.324951171875,928.4597778320312,588.264892578125,982.0743408203125,608.7156982421875,584.2644653320312,451.8581848144531,589.1144409179688,412.5867004394531,445.3954162597656,494.53759765625,444.73876953125,467.1492614746094,197.71511840820312,481.09716796875,207.52337646484375,483.7673645019531
4,970.5997314453125,493.71002197265625,0.0,0.0,983.9697265625,470.8065185546875,0.0,0.0,953.8079223632812,408.3999938964844,853.82666015625,448.90496826171875,862.0872802734375,405.70147705078125,810.927490234375,579.96630859375,845.2511596679688,562.5208129882812,928.7661743164062,586.670166015625,982.00048828125,607.3121337890625,585.4002685546875,450.95233154296875,589.971923828125,412.2723388671875,442.94586181640625,494.3980712890625,443.19586181640625,468.98760986328125,197.45437622070312,478.47467041015625,207.45162963867188,483.8125305175781
5,970.4451904296875,494.13494873046875,0.0,0.0,984.0442504882812,471.14935302734375,0.0,0.0,954.5505981445312,408.5043640136719,853.9981079101562,449.28912353515625,862.4464111328125,405.68841552734375,811.11376953125,580.4371948242188,845.0507202148438,562.7515869140625,929.52392578125,586.9361572265625,982.5390014648438,606.9307861328125,583.3187255859375,451.7913513183594,588.0634155273438,412.7360534667969,441.83270263671875,495.00958251953125,442.14593505859375,468.8692321777344,194.22259521484375,478.67523193359375,203.81661987304688,483.0171203613281
6,971.0695190429688,494.13555908203125,0.0,0.0,984.4351806640625,471.29022216796875,0.0,0.0,954.85107421875,409.379150390625,854.8118896484375,450.3402099609375,863.182861328125,406.8782653808594,810.96044921875,581.6188354492188,844.65478515625,563.333984375,930.76708984375,587.058349609375,982.6226806640625,607.484619140625,584.9042358398438,453.6667175292969,589.6590576171875,414.62884521484375,440.515625,495.95098876953125,441.47625732421875,469.5648193359375,194.00173950195312,479.8066101074219,203.2371826171875,483.09716796875
7,971.439453125,494.2049560546875,0.0,0.0,984.5628662109375,471.71978759765625,0.0,0.0,954.865234375,410.3979187011719,855.9580078125,450.4853515625,864.4010620117188,408.15216064453125,812.182861328125,581.6268920898438,844.8511962890625,563.4728393554688,930.8856201171875,587.8185424804688,980.70703125,606.4379272460938,588.9127197265625,454.2508239746094,593.7852783203125,415.9550476074219,440.45721435546875,495.94000244140625,442.19537353515625,471.95562744140625,196.61050415039062,478.2433776855469,206.379150390625,484.6202087402344
8,972.1320190429688,493.8446044921875,0.0,0.0,984.94873046875,471.76495361328125,0.0,0.0,955.4470825195312,411.6949768066406,856.8046875,450.8551940917969,865.967041015625,409.8288269042969,811.91552734375,581.0967407226562,844.4869995117188,563.7490234375,929.344970703125,587.2394409179688,978.638671875,606.4244384765625,590.3952026367188,454.9073181152344,595.76953125,417.072265625,438.83868408203125,498.696533203125,442.03704833984375,475.368408203125,197.59588623046875,481.5986633300781,207.12405395507812,487.856689453125
9,972.3040161132812,494.2969970703125,0.0,0.0,985.2794189453125,472.2509460449219,0.0,0.0,955.9072265625,412.1976318359375,855.5366821289062,451.53009033203125,866.1263427734375,410.2735595703125,810.3280029296875,581.92333984375,844.2850952148438,564.2538452148438,927.8228759765625,586.6695556640625,978.031494140625,607.2440795898438,588.395263671875,457.3074035644531,594.6068115234375,419.22698974609375,435.8323974609375,499.6968994140625,439.91180419921875,475.9886474609375,193.736328125,483.7828674316406,203.12429809570312,489.39129638671875
10,972.0542602539062,493.69677734375,0.0,0.0,984.532958984375,472.3597412109375,0.0,0.0,955.2003173828125,413.1015625,854.857421875,449.06561279296875,866.7476196289062,410.97601318359375,810.0693969726562,580.3699951171875,844.7000122070312,565.7098388671875,924.85400390625,586.1759033203125,974.5397338867188,607.8145141601562,588.0661010742188,456.4025573730469,595.097412109375,419.7542724609375,431.22454833984375,498.59197998046875,437.7862243652344,478.3616638183594,191.77005004882812,483.1941833496094,201.60244750976562,492.619873046875
11,971.4765625,493.22283935546875,0.0,0.0,983.9156494140625,472.0143737792969,0.0,0.0,954.8931884765625,413.1725158691406,854.9078369140625,449.1902160644531,867.2702026367188,411.487548828125,810.8995361328125,580.3842163085938,846.152587890625,566.04541015625,925.7188720703125,586.59765625,974.854248046875,607.720703125,588.803466796875,456.89630126953125,596.1629028320312,420.40606689453125,431.4539794921875,498.29541015625,438.33392333984375,478.5343933105469,192.42300415039062,483.4574279785156,202.5341796875,493.563720703125
12,973.535400390625,493.38519287109375,0.0,0.0,985.8770751953125,472.3287658691406,0.0,0.0,956.8077392578125,413.50189208984375,855.56396484375,448.0220031738281,869.360107421875,411.9134521484375,812.240234375,579.0210571289062,846.8875732421875,566.8096923828125,927.53955078125,587.320068359375,973.514892578125,607.4642333984375,589.3257446289062,456.71942138671875,597.6712646484375,420.9893493652344,432.6307373046875,497.13873291015625,440.97601318359375,478.95867919921875,192.85580444335938,484.350341796875,203.0377197265625,495.92095947265625
