frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,714.8634643554688,345.6965637207031,723.7603149414062,344.0813293457031,696.660400390625,342.8968505859375,0.0,0.0,666.3258056640625,377.95257568359375,761.6031494140625,442.2847900390625,640.3907470703125,440.93341064453125,839.720458984375,309.730224609375,584.0603637695312,314.5311279296875,848.8370361328125,188.28439331054688,560.1963500976562,178.71304321289062,772.5028076171875,688.4237060546875,684.8626098632812,687.159912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,715.1696166992188,356.1383361816406,725.6445922851562,354.2277526855469,697.8546142578125,352.27142333984375,0.0,0.0,669.269775390625,383.8775329589844,764.134765625,444.94354248046875,645.3594970703125,443.3789978027344,841.86767578125,313.47314453125,587.7059326171875,319.6340026855469,848.5399780273438,191.4398193359375,562.4480590820312,181.07391357421875,772.2973022460938,685.1024780273438,685.5249633789062,683.044921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,711.941650390625,338.3265380859375,720.9005737304688,336.88372802734375,694.4569702148438,336.36602783203125,0.0,0.0,669.3465576171875,375.5400695800781,766.2855224609375,446.5574951171875,645.3521118164062,446.8511657714844,845.9880981445312,314.9615173339844,589.6907348632812,321.18646240234375,848.4276123046875,194.17665100097656,566.884521484375,187.3210906982422,774.2593383789062,689.759033203125,687.0690307617188,688.0230712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,712.7697143554688,340.625,722.4401245117188,339.3372802734375,694.65673828125,338.8692626953125,0.0,0.0,668.1864624023438,379.0157775878906,766.988525390625,449.3422546386719,646.2313842773438,453.1393737792969,849.7948608398438,311.7582702636719,592.3233642578125,327.16314697265625,849.7353515625,193.93988037109375,568.8383178710938,193.71182250976562,778.2853393554688,689.9266967773438,691.1039428710938,690.1777954101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,711.58544921875,337.8197021484375,721.78369140625,336.53570556640625,694.2227783203125,336.8399963378906,0.0,0.0,670.7863159179688,377.6005554199219,770.112060546875,444.4497375488281,647.1713256835938,451.0830993652344,858.1039428710938,310.60186767578125,587.5274658203125,330.74249267578125,851.576171875,193.31292724609375,572.536376953125,196.1785430908203,778.7962036132812,683.6038818359375,690.5503540039062,685.643310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,714.9009399414062,347.1419372558594,725.0821533203125,342.65045166015625,697.8726806640625,342.7764587402344,0.0,0.0,672.0634765625,376.42401123046875,773.50146484375,444.275634765625,644.6344604492188,448.26318359375,862.6961059570312,315.48175048828125,585.7230834960938,327.66302490234375,851.0775756835938,202.77133178710938,571.1943969726562,199.4247589111328,781.5413818359375,679.209716796875,689.7573852539062,680.368408203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,711.2203369140625,334.10809326171875,720.56982421875,328.91424560546875,696.4743041992188,329.74249267578125,0.0,0.0,0.0,0.0,773.15283203125,429.73284912109375,642.0904541015625,429.3743896484375,871.6876831054688,318.67266845703125,575.401611328125,312.6650390625,846.9339599609375,207.01123046875,573.0846557617188,192.23422241210938,783.747802734375,662.1669921875,688.7510375976562,663.4795532226562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,706.9949951171875,353.9842529296875,716.7033081054688,346.0406188964844,695.4828491210938,346.0562744140625,0.0,0.0,0.0,0.0,771.0811767578125,422.35369873046875,644.3864135742188,420.9794006347656,877.7904663085938,321.2723693847656,573.244384765625,316.7564392089844,851.446044921875,209.4202117919922,575.8165283203125,201.26541137695312,778.9833374023438,643.7974853515625,685.5758666992188,644.7372436523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,701.495849609375,317.1286926269531,710.0208129882812,312.53558349609375,692.492431640625,312.5909729003906,0.0,0.0,0.0,0.0,776.32568359375,403.8598327636719,645.0068359375,404.4503173828125,886.7498168945312,316.4369201660156,572.443359375,316.39788818359375,866.8466796875,218.0395965576172,582.3388671875,207.73269653320312,779.421630859375,629.9619750976562,686.4884033203125,631.0955810546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,706.6744384765625,292.1645812988281,718.0436401367188,290.23974609375,692.3665771484375,290.7607421875,732.3204956054688,326.10150146484375,0.0,0.0,777.8544311523438,388.08453369140625,644.5261840820312,389.68670654296875,884.5419921875,311.633544921875,568.4404296875,310.7304382324219,855.8750610351562,203.03445434570312,575.2317504882812,202.9918212890625,780.7133178710938,605.7924194335938,684.3662109375,609.5648193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,709.91845703125,274.7216796875,720.2938232421875,272.8117980957031,695.017578125,274.20733642578125,733.703857421875,309.6021728515625,0.0,0.0,781.9841918945312,373.039794921875,642.5701904296875,374.1270751953125,887.408203125,310.3312683105469,566.0812377929688,305.4161682128906,857.951171875,203.40077209472656,576.3309936523438,202.56613159179688,780.3685913085938,591.2328491210938,681.6495971679688,595.27587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,707.0603637695312,264.52044677734375,717.2398681640625,260.6029052734375,694.3632202148438,261.6649169921875,731.8878173828125,291.8697814941406,0.0,0.0,783.9432373046875,355.09136962890625,642.6561889648438,355.243896484375,888.6004028320312,312.6307067871094,563.7902221679688,306.5877685546875,860.2508544921875,204.21810913085938,574.1370239257812,205.88427734375,778.1903076171875,567.0657348632812,680.23583984375,570.6280517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
