frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,318.9857482910156,162.10952758789062,335.656494140625,153.79742431640625,314.2014465332031,152.93280029296875,362.1284484863281,169.96910095214844,0.0,0.0,386.1348571777344,245.19241333007812,293.68341064453125,228.96205139160156,444.6436767578125,337.8204345703125,263.8330383300781,288.62628173828125,448.97283935546875,264.0263366699219,231.26617431640625,239.53770446777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,318.98687744140625,162.11065673828125,335.6571044921875,153.80029296875,314.199951171875,152.93409729003906,362.1288757324219,169.9766845703125,0.0,0.0,386.14013671875,245.21163940429688,293.6744384765625,228.97988891601562,444.6468505859375,337.8252868652344,263.77130126953125,288.62969970703125,448.96795654296875,264.0408020019531,231.27980041503906,239.52281188964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,319.1319580078125,160.9148406982422,335.8369140625,152.81765747070312,314.3082580566406,151.97433471679688,361.921142578125,169.48709106445312,0.0,0.0,385.1795654296875,243.2738800048828,292.03973388671875,228.9384307861328,445.3067932128906,334.1333923339844,260.993408203125,290.0123596191406,448.8238220214844,258.73980712890625,231.23837280273438,237.86488342285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,318.4707946777344,160.3807830810547,335.2036437988281,152.15206909179688,313.7981262207031,151.63844299316406,362.3141784667969,168.900146484375,0.0,0.0,387.49468994140625,243.15760803222656,291.244140625,229.5325164794922,448.6266174316406,332.08251953125,256.8375549316406,288.2539367675781,449.6568603515625,256.3853759765625,227.7499237060547,233.92141723632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,319.3097229003906,159.87942504882812,336.0618896484375,151.58973693847656,314.06072998046875,150.15235900878906,362.11785888671875,167.65647888183594,0.0,0.0,385.34100341796875,240.55831909179688,292.56451416015625,228.19720458984375,449.3255615234375,325.01788330078125,254.53884887695312,286.2257385253906,444.12249755859375,252.41549682617188,231.0077667236328,227.629638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,318.9337158203125,159.40960693359375,335.5708923339844,151.69149780273438,314.1094970703125,150.05667114257812,361.7698974609375,168.1033935546875,0.0,0.0,388.4065856933594,240.6934356689453,289.96893310546875,225.71766662597656,458.7503662109375,325.16070556640625,246.54364013671875,282.2530517578125,453.7013244628906,245.98110961914062,225.27780151367188,223.11204528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,319.1107177734375,159.04263305664062,335.4538879394531,151.23231506347656,314.5821228027344,149.27076721191406,361.25225830078125,167.01947021484375,0.0,0.0,385.5339050292969,239.33726501464844,292.0806884765625,224.88174438476562,454.3134460449219,319.809814453125,244.85842895507812,279.69677734375,449.53936767578125,241.67031860351562,223.92710876464844,223.22024536132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,318.8044738769531,158.89341735839844,335.1095886230469,151.11062622070312,314.366943359375,149.19732666015625,360.8902893066406,166.98248291015625,0.0,0.0,385.4696044921875,239.08192443847656,291.9286193847656,224.87722778320312,454.8359680175781,319.4852600097656,244.5767822265625,279.51617431640625,450.3382263183594,241.08407592773438,223.7978973388672,222.25851440429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,319.26800537109375,158.5679931640625,335.0351867675781,150.57540893554688,314.4067687988281,149.53244018554688,360.2957763671875,165.55450439453125,0.0,0.0,387.5276184082031,236.01727294921875,291.50885009765625,224.34449768066406,456.19769287109375,313.9384765625,247.2397918701172,276.1341247558594,449.7455139160156,237.86827087402344,223.66307067871094,221.71603393554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,319.7316589355469,158.11192321777344,335.49591064453125,150.38894653320312,315.0237121582031,149.17323303222656,360.1858215332031,165.75296020507812,0.0,0.0,386.7685852050781,236.4049072265625,291.80572509765625,223.97726440429688,458.47540283203125,314.52984619140625,246.82379150390625,275.09906005859375,449.57171630859375,236.02772521972656,224.09042358398438,222.20399475097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,319.73724365234375,158.0054931640625,335.3994445800781,150.3900146484375,314.90350341796875,149.35594177246094,360.0951843261719,165.91439819335938,0.0,0.0,387.0329284667969,236.08352661132812,291.8399963378906,224.1312713623047,458.06512451171875,313.353759765625,246.34336853027344,275.26080322265625,449.3195495605469,233.75509643554688,222.91921997070312,223.53884887695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,319.8135986328125,157.74473571777344,335.583740234375,150.1330108642578,314.8437194824219,149.26368713378906,360.2062072753906,166.08340454101562,0.0,0.0,387.68756103515625,236.23135375976562,289.2129821777344,224.8991241455078,459.28497314453125,311.47186279296875,244.20452880859375,273.99359130859375,449.92596435546875,231.6653594970703,223.46995544433594,217.08546447753906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,319.46356201171875,157.589599609375,335.262451171875,150.27456665039062,314.8789367675781,149.38247680664062,360.0382385253906,166.67312622070312,0.0,0.0,386.3566589355469,236.28089904785156,290.14031982421875,225.07688903808594,460.469970703125,308.7284851074219,244.02450561523438,271.5971984863281,449.9560852050781,229.278076171875,222.39698791503906,216.4781036376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,319.228759765625,158.2003936767578,335.1236877441406,150.57151794433594,314.9253845214844,149.50770568847656,359.79718017578125,166.15682983398438,0.0,0.0,382.277099609375,235.42430114746094,290.8885498046875,222.95359802246094,459.2294921875,305.5812072753906,240.75799560546875,265.802734375,450.564208984375,223.59251403808594,220.76803588867188,208.5354766845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,319.30181884765625,158.76702880859375,335.13494873046875,150.71066284179688,314.44659423828125,150.1034698486328,360.2515869140625,165.77780151367188,0.0,0.0,383.4164123535156,233.7672119140625,290.14764404296875,222.81297302246094,462.56689453125,300.2817077636719,238.28237915039062,262.3360595703125,452.8706970214844,219.93051147460938,221.3036651611328,200.38645935058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,319.4540710449219,159.5478515625,334.7996826171875,151.05995178222656,314.40960693359375,150.57989501953125,359.6308288574219,164.99713134765625,0.0,0.0,383.2718505859375,233.85861206054688,290.60467529296875,221.98301696777344,460.1776123046875,294.56890869140625,235.03370666503906,254.99957275390625,453.1199951171875,213.98873901367188,220.79930114746094,191.9664764404297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,319.39886474609375,159.27536010742188,335.20587158203125,150.92813110351562,313.4682922363281,150.45518493652344,361.143310546875,165.6674041748047,0.0,0.0,387.2897033691406,233.24594116210938,285.2501525878906,221.95220947265625,461.4068603515625,284.84130859375,229.2384033203125,249.059326171875,453.7136535644531,201.3740692138672,222.33204650878906,183.262939453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,320.79449462890625,159.0692901611328,336.010986328125,150.72900390625,313.93304443359375,150.2169189453125,360.67901611328125,165.335693359375,307.5003356933594,163.2766571044922,387.6236877441406,231.9247589111328,286.6075439453125,221.06695556640625,464.7436828613281,275.5614318847656,225.20053100585938,242.66006469726562,456.8491516113281,188.4208221435547,221.7141571044922,173.89549255371094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,320.9476623535156,158.0166778564453,336.0057067871094,149.93080139160156,314.9052734375,149.9007110595703,359.8730773925781,164.87234497070312,0.0,0.0,383.47406005859375,232.83367919921875,289.7203674316406,219.68113708496094,468.8132019042969,274.6056213378906,222.13356018066406,237.0786590576172,457.55120849609375,178.39080810546875,218.85238647460938,172.78042602539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,320.8245849609375,158.13836669921875,335.93780517578125,150.11380004882812,314.6916809082031,150.337158203125,360.5345153808594,165.40628051757812,0.0,0.0,384.9862365722656,227.598388671875,289.8656005859375,218.10890197753906,474.7843933105469,256.8804016113281,216.77664184570312,229.26832580566406,460.78057861328125,167.4808807373047,219.76324462890625,159.43914794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,321.03363037109375,158.809326171875,335.3707580566406,150.58395385742188,314.60833740234375,151.24411010742188,359.4732666015625,164.78353881835938,0.0,0.0,384.4529113769531,225.90069580078125,294.0689697265625,214.56134033203125,469.2392272949219,247.0753173828125,213.75808715820312,212.66998291015625,459.9035339355469,154.39315795898438,217.35386657714844,142.40794372558594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,322.0821838378906,160.10501098632812,336.28271484375,151.32577514648438,314.80078125,152.11517333984375,360.30426025390625,165.16885375976562,0.0,0.0,386.71527099609375,227.60400390625,292.7270812988281,214.57611083984375,467.9816589355469,241.61041259765625,213.56231689453125,205.0088653564453,460.4636535644531,143.78665161132812,223.22361755371094,134.941650390625,353.6029052734375,355.427734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
