frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,518.1223754882812,104.53436279296875,526.3370361328125,88.09295654296875,0.0,0.0,570.6107788085938,79.2783203125,0.0,0.0,654.31396484375,144.71849060058594,570.5581665039062,150.93304443359375,735.6502075195312,206.66549682617188,0.0,0.0,698.4658813476562,152.1568145751953,0.0,0.0,665.508544921875,358.0024108886719,611.7356567382812,352.0464782714844,672.392333984375,521.7728271484375,612.9281616210938,496.61700439453125,699.0371704101562,666.2945556640625,634.53955078125,621.757568359375
1,518.02880859375,104.14356994628906,526.2975463867188,87.72372436523438,0.0,0.0,570.6307983398438,79.13693237304688,0.0,0.0,654.300048828125,144.90025329589844,570.29443359375,151.3647918701172,736.0911865234375,207.2812042236328,0.0,0.0,699.6925659179688,153.87803649902344,0.0,0.0,665.5527954101562,358.3099365234375,611.69580078125,352.4037170410156,672.4291381835938,522.0139770507812,612.7991943359375,496.77197265625,698.9548950195312,666.4312744140625,634.6011352539062,621.851806640625
2,517.9308471679688,103.99298095703125,526.2783813476562,87.24990844726562,0.0,0.0,568.371337890625,79.43807983398438,0.0,0.0,649.9754638671875,146.26393127441406,568.187744140625,152.3434600830078,728.91748046875,203.5288543701172,0.0,0.0,701.6322631835938,152.9520721435547,0.0,0.0,663.2479858398438,359.6050720214844,610.03662109375,353.8193664550781,673.0731201171875,524.2734985351562,614.5291748046875,495.3592529296875,702.316650390625,667.8489990234375,635.6724243164062,617.5464477539062
3,517.0934448242188,103.67727661132812,525.6519775390625,87.00735473632812,0.0,0.0,568.1162109375,79.8389892578125,0.0,0.0,649.36865234375,146.24948120117188,566.1317138671875,154.5234375,725.8958740234375,200.8693084716797,0.0,0.0,700.9579467773438,153.20941162109375,0.0,0.0,664.1419067382812,359.492919921875,610.027587890625,354.56982421875,673.1476440429688,524.620849609375,614.0241088867188,495.630126953125,701.4495239257812,669.108642578125,635.7885131835938,617.57568359375
4,517.0045776367188,104.44482421875,525.3445434570312,87.962890625,512.5545043945312,93.42071533203125,569.4146118164062,80.34591674804688,0.0,0.0,653.71240234375,146.2310028076172,567.2086181640625,155.8312530517578,734.87060546875,206.75897216796875,567.7646484375,207.6663360595703,695.0425415039062,152.33660888671875,541.7501220703125,146.80641174316406,666.2461547851562,359.3402404785156,610.7571411132812,354.3144226074219,672.2527465820312,523.076416015625,611.92578125,497.85235595703125,698.2425537109375,667.419921875,634.8303833007812,622.300048828125
5,517.8934936523438,105.58982849121094,525.673583984375,88.53594970703125,0.0,0.0,566.6576538085938,80.39556884765625,0.0,0.0,648.7343139648438,146.50038146972656,564.7735595703125,157.1931915283203,726.4929809570312,205.51010131835938,0.0,0.0,707.0824584960938,163.1117401123047,0.0,0.0,663.8056030273438,359.8336181640625,609.5621337890625,356.2669982910156,672.3400268554688,524.4424438476562,615.1317138671875,497.3248291015625,700.5275268554688,669.512451171875,634.3685302734375,618.62890625
6,517.7822875976562,104.787353515625,525.7366943359375,88.2437744140625,512.6729125976562,94.13287353515625,568.097412109375,80.78042602539062,0.0,0.0,652.3915405273438,146.75770568847656,562.8201904296875,158.66664123535156,736.3519897460938,212.5911407470703,560.4556884765625,216.17152404785156,709.08056640625,169.90272521972656,538.871826171875,156.6516876220703,666.5432739257812,357.3401794433594,609.424560546875,354.1146545410156,672.1663818359375,521.726318359375,612.5849609375,499.0335693359375,698.123779296875,667.642822265625,634.209228515625,623.58349609375
7,518.2527465820312,104.95327758789062,526.465087890625,88.40780639648438,512.74560546875,94.378662109375,568.929443359375,81.11651611328125,0.0,0.0,652.473876953125,146.74131774902344,560.6240844726562,160.1144561767578,734.016845703125,211.10888671875,556.6041870117188,218.25294494628906,708.1688842773438,169.3601531982422,534.4384765625,159.02403259277344,667.26611328125,357.10040283203125,608.645751953125,354.52642822265625,672.7183837890625,522.0750122070312,612.461181640625,499.615478515625,697.8209838867188,667.35693359375,634.4548950195312,623.2703247070312
8,518.2036743164062,104.919189453125,526.6630249023438,88.34255981445312,512.1831665039062,94.56588745117188,570.03955078125,81.9449462890625,0.0,0.0,649.6654663085938,148.40516662597656,559.5004272460938,161.4840850830078,727.8605346679688,215.2161865234375,552.7029418945312,218.366455078125,724.0198364257812,187.7079315185547,533.3881225585938,159.25491333007812,666.5023803710938,355.1226501464844,608.7568359375,353.71429443359375,672.186279296875,521.2921142578125,613.2781982421875,500.39434814453125,698.4869384765625,667.0807495117188,633.10205078125,622.4978637695312
9,518.2119750976562,105.35357666015625,526.8281860351562,88.91018676757812,512.2266235351562,95.12432861328125,569.7485961914062,82.27383422851562,0.0,0.0,650.3392333984375,148.08779907226562,556.4061279296875,162.48399353027344,728.1389770507812,214.91305541992188,547.7246704101562,221.5978240966797,719.3169555664062,184.8687286376953,529.6613159179688,163.38311767578125,668.1188354492188,355.16253662109375,608.1279296875,354.27484130859375,671.7200927734375,521.79248046875,611.9488525390625,502.1998291015625,697.5513305664062,665.4833374023438,633.782958984375,623.5908813476562
