frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.7952880859375,261.3510437011719,624.4746704101562,247.85836791992188,428.1986083984375,285.61920166015625,723.7424926757812,273.0346984863281,469.2322998046875,149.99688720703125,761.9740600585938,173.74302673339844,500.14617919921875,299.394287109375,619.5927734375,295.4924011230469,640.3370361328125,343.4373779296875,862.6459350585938,313.6491394042969,539.8195190429688,540.2305908203125,787.9285888671875,503.1904296875
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.50115966796875,277.9057922363281,692.3970947265625,266.708984375,418.5653076171875,274.5022888183594,764.791259765625,275.9192199707031,390.67547607421875,133.85861206054688,784.21875,171.55523681640625,508.54119873046875,310.84674072265625,643.4349365234375,308.2253723144531,605.30810546875,329.30072021484375,847.453369140625,306.9614562988281,518.906494140625,535.5615844726562,829.52880859375,509.8675537109375
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.36798095703125,279.7950439453125,661.779052734375,269.36651611328125,414.9060363769531,284.1597900390625,722.2708740234375,279.68548583984375,393.3560791015625,143.85606384277344,774.9244995117188,166.014404296875,512.6390380859375,307.1010437011719,628.1717529296875,306.1563415527344,618.184326171875,324.3934020996094,850.5626220703125,303.2663879394531,531.704345703125,539.4249267578125,835.8634643554688,512.6068115234375
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.3498229980469,286.0850524902344,673.776123046875,270.5248107910156,407.77447509765625,291.0185546875,744.607666015625,271.4099426269531,390.58203125,160.9058074951172,798.4983520507812,180.51583862304688,509.9374694824219,308.9444885253906,638.5822143554688,306.0559997558594,615.6011962890625,331.2529602050781,859.8671875,305.6195068359375,535.5661010742188,538.8607788085938,839.709228515625,504.3822021484375
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.1606140136719,283.3261413574219,563.438232421875,276.22955322265625,411.3851013183594,302.6213073730469,461.8289489746094,286.3755798339844,390.94287109375,171.07662963867188,441.46697998046875,166.34983825683594,546.2874145507812,301.9884338378906,605.87060546875,305.8465576171875,642.4171752929688,334.7610778808594,849.2879638671875,317.28326416015625,557.276611328125,549.5333251953125,857.0507202148438,518.3775634765625
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.9109802246094,268.605224609375,514.6846313476562,270.94305419921875,416.8655090332031,313.1690979003906,401.635498046875,322.35784912109375,388.1416015625,181.9341278076172,403.73126220703125,187.50357055664062,571.973388671875,302.2513732910156,595.129638671875,313.3180847167969,642.68310546875,325.6271667480469,810.4259033203125,324.2016296386719,558.8410034179688,539.5235595703125,847.265869140625,528.9151611328125
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0858764648438,254.99774169921875,533.8275756835938,251.04449462890625,471.0292663574219,295.6927490234375,440.8868103027344,294.07830810546875,403.700927734375,203.19683837890625,389.9579772949219,198.95791625976562,613.5452880859375,300.77606201171875,607.1934814453125,307.5165100097656,648.6502075195312,317.65899658203125,721.7682495117188,314.6195068359375,626.2757568359375,513.185546875,780.7129516601562,505.68621826171875
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.6375122070312,291.10089111328125,617.416259765625,273.4336853027344,488.63079833984375,305.58941650390625,535.0895385742188,279.667236328125,427.13763427734375,226.26385498046875,472.92205810546875,216.19674682617188,578.6835327148438,298.17193603515625,623.6810913085938,295.06085205078125,604.1839599609375,323.82763671875,794.5235595703125,299.3685302734375,534.5245971679688,524.6482543945312,839.7569580078125,489.5374755859375
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.1140747070312,294.85546875,609.6104125976562,281.97320556640625,487.06207275390625,313.61328125,540.2561645507812,297.40283203125,447.8304443359375,219.5462188720703,541.600830078125,212.7527313232422,559.1549072265625,302.7349853515625,608.5255737304688,302.4278869628906,628.2742919921875,332.1209411621094,828.628662109375,306.2819519042969,542.510986328125,547.7864990234375,853.3487548828125,502.89739990234375
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.2251586914062,274.3980407714844,554.3051147460938,270.3207702636719,503.2709045410156,306.3802490234375,449.0591735839844,309.37457275390625,438.48297119140625,235.50494384765625,396.0577392578125,230.1776580810547,605.2672729492188,299.6003723144531,611.45556640625,303.4903259277344,624.93017578125,325.8254089355469,766.9927978515625,308.8258361816406,554.871826171875,528.436279296875,822.4996948242188,495.99188232421875
