frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,473.8151550292969,296.7320251464844,481.3245544433594,279.67352294921875,464.5394287109375,287.222412109375,520.203857421875,267.5874328613281,0.0,0.0,579.947998046875,321.8452453613281,519.2218627929688,335.29449462890625,615.9266967773438,438.6487731933594,508.9200439453125,439.0127868652344,611.5214233398438,541.0799560546875,498.726318359375,518.98095703125,658.9280395507812,437.64447021484375,618.8430786132812,441.9837646484375,596.9429321289062,498.46527099609375,563.0692138671875,503.713134765625,624.007080078125,640.2720336914062,590.2060546875,635.4689331054688
1,471.9414978027344,280.78863525390625,480.695556640625,264.89337158203125,463.68707275390625,270.44732666015625,519.8305053710938,256.2539978027344,0.0,0.0,579.3290405273438,311.82818603515625,519.8983764648438,319.837890625,620.1760864257812,432.9920654296875,508.7671813964844,425.5991516113281,610.2491455078125,530.09375,500.01031494140625,506.32659912109375,669.3663940429688,413.709228515625,629.4644775390625,415.5193176269531,591.1156005859375,501.9071044921875,554.483154296875,505.97137451171875,621.893310546875,645.504150390625,583.4537353515625,640.8424072265625
2,471.3568115234375,270.9302062988281,480.35723876953125,255.33285522460938,463.46966552734375,260.32232666015625,519.3084716796875,248.9649658203125,0.0,0.0,577.7557373046875,305.33685302734375,518.7537841796875,315.43255615234375,620.6920776367188,423.774658203125,507.79638671875,424.0370788574219,614.0020751953125,521.1416625976562,496.87957763671875,502.24761962890625,668.1927490234375,406.70562744140625,628.6817016601562,409.3240051269531,594.7831420898438,497.2176513671875,559.03759765625,500.2059326171875,622.9613037109375,647.78955078125,587.6358032226562,640.5099487304688
3,473.9065246582031,263.97698974609375,482.1914978027344,248.4884033203125,465.7474365234375,253.70758056640625,519.8984375,242.46063232421875,0.0,0.0,579.02734375,298.5071716308594,520.81640625,309.413330078125,621.0746459960938,414.8800048828125,509.14739990234375,416.8046569824219,614.6063842773438,512.67529296875,500.80548095703125,494.66668701171875,671.341064453125,398.20709228515625,632.1555786132812,400.99725341796875,597.2899169921875,493.83477783203125,562.0528564453125,495.51513671875,624.852294921875,646.9490356445312,587.181884765625,635.858154296875
4,474.4292907714844,253.3558349609375,482.9071044921875,237.41046142578125,465.7940673828125,243.4212646484375,521.6011962890625,232.54849243164062,0.0,0.0,579.66650390625,290.38275146484375,523.3616333007812,302.26629638671875,619.2451782226562,405.1825866699219,509.710205078125,406.0086364746094,615.882568359375,504.36187744140625,503.3387451171875,484.88189697265625,673.972412109375,393.6905517578125,635.6824951171875,397.3362121582031,595.0823974609375,484.7710266113281,562.2722778320312,489.39031982421875,624.9990234375,644.52685546875,586.217529296875,636.12353515625
5,477.8719177246094,230.64476013183594,486.29913330078125,216.65911865234375,469.39154052734375,219.78236389160156,522.9943237304688,214.2273406982422,0.0,0.0,579.5894165039062,272.8135681152344,522.816162109375,279.3766174316406,620.441162109375,389.9965515136719,515.1068115234375,388.35491943359375,619.7088623046875,487.6257019042969,505.702392578125,466.28448486328125,665.1135864257812,379.7196350097656,625.7406616210938,379.7616882324219,607.9424438476562,499.97760009765625,565.5270385742188,493.51385498046875,620.7862548828125,651.84130859375,569.4486083984375,629.3229370117188
6,482.44329833984375,217.40980529785156,490.86077880859375,203.75741577148438,473.3310546875,206.95599365234375,525.442626953125,202.18667602539062,0.0,0.0,578.3170776367188,259.97894287109375,524.3321533203125,270.862060546875,618.885986328125,373.1741943359375,517.5224609375,380.9505310058594,621.2747802734375,475.339111328125,503.4791564941406,459.35369873046875,661.23583984375,372.67413330078125,624.072998046875,375.142578125,607.3787231445312,491.51214599609375,569.9573974609375,489.84979248046875,616.64794921875,647.6875,570.9218139648438,630.9298706054688
7,486.1710510253906,204.0610809326172,495.0726013183594,191.3520965576172,478.07147216796875,192.95767211914062,529.9076538085938,192.1805877685547,0.0,0.0,580.4927978515625,252.83612060546875,523.889404296875,260.5414733886719,618.8480224609375,366.596435546875,517.90771484375,372.5241394042969,619.9535522460938,466.8160400390625,507.04998779296875,451.20135498046875,653.815673828125,370.38134765625,614.1972045898438,371.25494384765625,617.955078125,493.7813720703125,571.41796875,487.7857971191406,621.44921875,650.7177124023438,563.4130249023438,629.266845703125
8,488.39739990234375,187.56573486328125,498.2701721191406,175.30484008789062,480.8755187988281,176.73843383789062,535.1874389648438,178.44122314453125,0.0,0.0,584.2454223632812,245.5545654296875,521.0552368164062,251.3426513671875,621.2438354492188,358.6507568359375,518.1904907226562,361.58203125,623.14892578125,458.37066650390625,507.8105163574219,443.7890625,636.0648193359375,379.4141540527344,593.1368408203125,379.3691711425781,620.908935546875,501.49468994140625,572.577880859375,492.6602783203125,622.7703857421875,650.130859375,563.5479125976562,626.8694458007812
9,496.7156982421875,166.2483673095703,507.5413818359375,151.5408935546875,488.44317626953125,154.7420196533203,547.908203125,154.19631958007812,0.0,0.0,599.4730834960938,225.68653869628906,531.9513549804688,231.55026245117188,624.489013671875,332.80743408203125,525.7684326171875,337.344482421875,627.2890014648438,428.60174560546875,517.1854858398438,419.36273193359375,644.400634765625,381.9765930175781,597.25732421875,381.61865234375,619.9180908203125,504.31341552734375,571.3497314453125,496.4268798828125,618.5571899414062,651.412353515625,565.6551513671875,633.04443359375
