frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,607.6124877929688,133.1592559814453,632.3873291015625,114.49948120117188,578.6156616210938,115.93673706054688,664.2604370117188,148.34011840820312,542.8651733398438,154.1334991455078,734.095458984375,301.2680969238281,485.242431640625,303.8525695800781,834.2817993164062,476.0415344238281,389.31878662109375,481.88702392578125,876.5179443359375,316.3580322265625,353.7498779296875,332.23809814453125,693.35546875,674.8201904296875,527.8251953125,674.755615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,607.5974731445312,133.2157745361328,632.3695068359375,114.5311279296875,578.6052856445312,115.97734069824219,664.2501220703125,148.32003784179688,542.8546142578125,154.13308715820312,734.0889892578125,301.2786560058594,485.297607421875,303.8697814941406,834.3553466796875,476.026123046875,389.35650634765625,481.8687744140625,876.4953002929688,316.279296875,353.6462097167969,332.33154296875,693.40380859375,674.8866577148438,527.8784790039062,674.8181762695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,607.3374633789062,134.28619384765625,631.590576171875,115.32998657226562,578.0191040039062,117.13597106933594,662.9232177734375,148.34750366210938,541.4768676757812,155.04449462890625,733.1966552734375,300.2561950683594,484.78692626953125,303.3792419433594,834.2532958984375,475.571533203125,390.2243957519531,480.78369140625,875.763427734375,317.2041015625,354.20758056640625,329.3871154785156,693.139892578125,674.52587890625,527.636474609375,674.53173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,606.5890502929688,134.35934448242188,630.6005859375,115.10963439941406,576.967529296875,117.10284423828125,661.7687377929688,147.7548370361328,539.9271240234375,154.94349670410156,732.972900390625,300.0045471191406,483.49176025390625,303.4980773925781,834.0079345703125,474.6871643066406,389.54425048828125,479.9576416015625,875.767578125,317.717041015625,353.7660827636719,327.4098205566406,693.4644165039062,674.8820190429688,527.3065185546875,674.796630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,606.259521484375,134.7061004638672,630.22705078125,115.82431030273438,576.626708984375,117.83943176269531,661.2194213867188,148.97756958007812,539.623046875,156.15908813476562,733.1233520507812,300.4577331542969,482.69580078125,304.1059265136719,833.3468627929688,474.819580078125,390.0076904296875,480.1763916015625,875.9404296875,318.07568359375,354.75482177734375,325.42352294921875,693.8538818359375,675.1085205078125,527.5653076171875,674.94091796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,606.1377563476562,134.5479736328125,630.1249389648438,115.97550964355469,576.4788818359375,117.99208068847656,661.0440063476562,149.8074493408203,539.4696044921875,156.9516143798828,732.7891845703125,300.8617858886719,482.55535888671875,304.2511901855469,833.090087890625,475.570068359375,388.51861572265625,480.4659423828125,875.110107421875,317.1973876953125,354.99090576171875,325.2518310546875,693.5121459960938,675.189208984375,527.0929565429688,675.0615844726562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,605.99658203125,135.56582641601562,630.0166625976562,116.74125671386719,576.3425903320312,118.6397705078125,660.9754638671875,149.9044647216797,539.1193237304688,156.78131103515625,732.4619140625,300.5149230957031,482.14166259765625,303.48797607421875,832.4590454101562,475.33843994140625,388.23309326171875,479.66656494140625,874.3057250976562,317.0460205078125,356.1973571777344,324.1356201171875,692.7974853515625,674.579345703125,526.1700439453125,674.197021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,606.3934326171875,136.023681640625,630.4337768554688,117.03125,576.4989624023438,119.07261657714844,661.5194702148438,150.14369201660156,538.9790649414062,157.34320068359375,732.3980712890625,300.7135314941406,482.47137451171875,303.9646911621094,832.3624267578125,475.71649169921875,388.13201904296875,479.9232482910156,873.7966918945312,317.4185791015625,357.16973876953125,322.8428039550781,692.94775390625,675.383544921875,526.3597412109375,675.3561401367188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,606.5806884765625,136.0188446044922,630.6359252929688,117.22611999511719,576.8251953125,119.34835815429688,661.7320556640625,150.5462646484375,539.6783447265625,157.90921020507812,732.7943115234375,300.5078430175781,483.0957946777344,303.2738037109375,832.1515502929688,475.46185302734375,388.6302490234375,477.99127197265625,872.66796875,316.1185607910156,356.2115478515625,321.56573486328125,692.474853515625,675.2517700195312,525.5955200195312,674.90771484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,607.6129760742188,137.02423095703125,631.7147216796875,118.35963439941406,577.9119873046875,120.43312072753906,662.710205078125,151.63369750976562,540.6272583007812,158.8105010986328,732.9863891601562,300.7200927734375,483.62445068359375,303.5532531738281,832.2028198242188,475.17681884765625,388.1022644042969,478.2955322265625,872.7849731445312,315.8699645996094,356.1505126953125,321.7996826171875,692.7724609375,675.837890625,526.1237182617188,675.7086181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
